iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
47,rem,pea,pea,[17.03579084  0.78351945  2.70057151 -0.05236148],[25.          0.5188673   1.4171118  -0.09663326]
48,piece,piece,piece,[ 4.85197638  0.51312695 -0.38279657],[ 4.1604363   0.01       -0.31361007]
48,pea,rem,pea,[2.45060409 0.25269465 0.51767417],[13.47950516  0.0998475   0.36249562]
48,premo,premo,premo,[ 0.85442287  4.32267903  6.86732738  6.18366599  1.         -0.42162533],[ 0.79437904 12.53590417 12.43989162 12.59716917  1.         -0.33682923]
48,rem,pea,pea,[14.69164789  1.3496153   7.48073268  1.97758298],[25.          0.13326229  0.          2.04834958]
49,piece,piece,piece,[5.41425453 1.19468499 0.39166848],[6.09129881 1.57679377 0.49932857]
49,pea,pea,pea,[15.18022104  0.2098462  -0.60077608],[13.39413043  0.19470356 -0.69700576]
49,premo,premo,premo,[ 0.38778497  1.40480129 13.02148422 23.21211869  1.         -0.43767068],[ 0.9799658  14.74761023  0.80895217 22.02250808  0.86220437 -0.30521013]
49,rem,pea,pea,[23.24359224  2.14029621  6.85535358  1.52098787],[24.96845385  0.88884805  2.54369468  1.50693529]
50,piece,piece,piece,[5.33008419 0.76161042 0.81004615],[5.65024344 0.7169088  0.87182827]
50,pea,pea,pea,[7.01049886 0.38412852 0.73945225],[5.88229708 0.36494335 0.77569198]
50,premo,premo,premo,[ 0.97467356 23.74690788 21.6031232  13.67073456  1.          1.51089242],[ 0.97606594 10.23654212  8.9301891  17.40921014  0.96616254  1.44894398]
50,rem,pea,pea,[20.89457672  2.10826745  3.68013352  1.29787552],[19.09405396  2.11145218  3.79519046  1.27551631]
51,piece,piece,piece,[ 5.08376193  0.73965284 -0.56376403],[ 4.78508202  1.03703996 -0.56655058]
51,pea,pea,pea,[ 9.93927923  0.36568288 -0.64030982],[13.47638417  0.36511556 -0.61034225]
51,premo,pea,pea,[ 0.41688732  0.39969315 22.49006122  9.79515978  1.          1.61721053],[ 0.13622191  9.75468976 12.49297008 15.4002423   1.          1.60359457]
51,rem,rem,rem,[24.2328434   2.18424125  0.83718402  1.0061778 ],[25.          2.50398378  1.07849424  0.78649271]
52,piece,piece,piece,[ 3.81089999  0.6075549  -0.55351841],[ 3.4357041   0.80100727 -0.5549805 ]
52,pea,pea,pea,[10.93135243  0.28488343  1.000728  ],[13.47475786  0.27424395  1.0262389 ]
52,premo,premo,premo,[ 0.46699916 10.82656854  5.23573398  9.48695483  1.         -0.35808557],[ 0.99974794 13.6670749   7.76270251 17.01059688  0.91106578 -0.38114349]
52,rem,pea,pea,[16.44465175  1.72305059  5.84165558  2.02426521],[9.92026885 2.51341852 7.30278077 2.04165939]
