trialnum,tgt_distance,tgt_angle_1,tgt_angle_2,rotation,gain,online_fb,endpoint_feedback,clamped_fb,between_blocks,target_size
597,90,90,94,0,1,1,1,0,0,6
598,90,90,90,0,1,1,1,0,0,6
599,90,90,92,0,1,1,1,0,0,6
600,90,90,90,0,1,1,1,0,0,6
601,90,90,92,0,1,1,1,0,0,6
602,90,90,90,0,1,1,1,0,0,6
603,90,90,92,0,1,1,1,0,0,6
604,90,90,90,0,1,1,1,0,0,6
605,90,90,88,0,1,1,1,0,0,6
606,90,90,90,0,1,1,1,0,0,6
607,90,90,94,0,1,1,1,0,0,6
608,90,90,90,0,1,0,0,0,0,6
609,90,90,90,4,1,1,1,0,0,6
610,90,90,90,0,1,0,0,0,0,6
611,90,90,90,0,1,1,1,0,0,6
612,90,90,90,0,1,0,0,0,0,6
613,90,90,94,0,1,1,1,0,0,6
614,90,90,90,0,1,1,1,0,0,6
615,90,90,92,0,1,1,1,0,0,6
